latitude,longitude,elevation,time
53.139381,22.98464,113.1,
53.140133,22.985979,112.2,
53.141656,22.988036,121.9,
53.14194,22.988151,123.0,
53.14194,22.988151,123.0,
53.142228,22.988299,124.2,
53.142228,22.988299,124.2,
53.142343,22.988358,124.7,
53.142461,22.988577,125.5,
53.1425225,22.988915,126.4,
53.142522,22.988915,126.4,
53.142494,22.988854,126.2,
53.142609,22.988477,125.2,
53.142799,22.988292,124.5,
53.145481,22.984577,114.5,
53.145585,22.984556,114.5,
53.146481,22.985404,115.5,
53.146481,22.985404,115.5,
53.147404,22.986103,114.3,
53.149792,22.986645,112.8,
53.150272,22.98676,113.3,
53.150688,22.986723,113.8,
53.152314,22.986178,117.0,
53.152606,22.986144,117.0,
53.152572,22.986019,117.0,
53.152447,22.986003,117.0,
53.152543,22.986073,117.0,
53.154988,22.985173,113.4,
53.155364,22.98503,113.1,
53.155713,22.984827,112.8,
53.156148,22.984401,112.7,
53.158244,22.981593,118.4,
53.158832,22.980923,119.2,
53.160614,22.978538,118.5,
53.160733,22.97846,118.3,
53.160867,22.978295,117.9,
53.161291,22.977107,116.2,
53.161482,22.976023,114.2,
53.163243,22.968281,106.3,
53.1637,22.965189,106.2,
53.163763,22.96447,106.3,
53.163862,22.962194,107.3,
53.163812,22.961438,106.8,
53.16388,22.961003,106.0,
53.163905,22.958511,106.1,
53.163856,22.958391,106.3,
53.163958,22.957598,106.8,
53.16403,22.952038,113.7,
53.163971,22.951304,114.2,
53.163205,22.948505,115.0,
53.163205,22.948505,115.0,
53.162972,22.947656,115.8,
53.162909,22.946893,116.7,
53.163026,22.945966,117.4,
53.163026,22.945966,117.4,
53.163217,22.945571,117.1,
53.163479,22.945327,117.0,
53.163834,22.945248,117.0,
53.166192,22.945334,114.5,
53.166281,22.945347,114.8,
53.166539,22.945577,114.5,
53.167018,22.945461,112.0,
53.170688,22.941439,113.9,
53.171188,22.941017,114.8,
53.175305,22.936472,118.2,
53.17623,22.935557,117.6,
53.176235,22.935607,117.4,
53.179338,22.932063,116.5,
53.18115,22.930403,114.4,
53.181951,22.929531,115.9,
53.183281,22.928307,115.1,
53.183531,22.927944,114.3,
53.18635,22.92024,125.3,
53.193084,22.901089,119.3,
53.193306,22.900166,119.9,
53.193445,22.899342,120.5,
53.195116,22.89172,129.0,
53.195431,22.88854,126.4,
53.195708,22.883104,119.0,
53.195668,22.881981,120.6,
53.195583,22.881022,121.5,
53.194829,22.872511,120.4,
53.194658,22.871722,121.2,
53.191319,22.859717,113.1,
53.19123,22.858939,113.3,
53.191034,22.852689,123.5,
53.19125,22.849533,126.1,
53.191321,22.84882,126.8,
53.191437,22.84814,127.4,
53.191696,22.847368,129.3,
53.194377,22.841208,127.6,
53.19456,22.840397,126.2,
53.195029,22.828174,111.9,
53.195386,22.8252,110.5,
53.198569,22.815119,120.9,
53.205752,22.793228,106.4,
53.207389,22.788408,109.3,
53.207526,22.78789,110.0,
53.207793,22.786848,111.5,
53.208028,22.7854,110.5,
53.208124,22.784618,110.0,
53.208201,22.780322,109.0,
53.208128,22.780081,109.0,
53.208195,22.779387,108.4,
53.207726,22.777542,109.0,
53.207539,22.775887,111.8,
53.207432,22.774269,112.9,
53.207476,22.773583,110.9,
53.207588,22.773371,109.5,
53.207514,22.772304,108.7,
53.207632,22.772214,107.9,
53.207696,22.77211,107.4,
53.20752,22.771332,107.9,
53.207421,22.771464,108.0,
53.207337,22.77143,108.0,
53.207308,22.770653,107.8,
53.207363,22.770675,107.8,
53.207436,22.770474,107.6,
53.207245,22.768284,106.3,
53.206433,22.768351,107.0,
53.204424,22.76783,109.0,
53.204297,22.767728,109.0,
53.204305,22.766574,109.2,
53.204177,22.766276,109.0,
53.204177,22.766276,109.0,
53.204103,22.766105,108.9,
53.203838,22.766151,108.6,
53.200921,22.765171,109.5,
53.200343,22.765049,111.1,
53.199807,22.764777,111.9,
53.194031,22.762821,130.1,
53.182373,22.757696,150.0,
53.18206,22.75762,150.0,
53.181706,22.757586,150.0,
53.17593,22.758233,152.5,
53.175169,22.758232,153.0,
53.172198,22.758631,161.3,
53.168731,22.758913,160.9,
53.167369,22.758841,160.0,
53.166848,22.758665,158.8,
53.162327,22.755858,149.3,
53.157215,22.752534,143.6,
53.154775,22.751088,140.5,
53.152443,22.749843,138.3,
53.151588,22.749486,136.5,
53.148061,22.747743,136.6,
53.142349,22.745079,131.1,
53.1423,22.7449665,131.0,
53.1423,22.7449665,131.0,
53.141291,22.744403,129.6,
53.140827,22.744007,128.0,
53.139546,22.742105,128.3,
53.139288,22.741885,127.2,
53.138942,22.741681,126.4,
53.138405,22.741513,125.0,
53.137994,22.741702,124.6,
53.137994,22.741702,124.6,
53.137737,22.740749,124.0,
53.137354,22.74107,123.7,
53.137158,22.741031,123.2,
53.136906,22.741072,122.6,
53.13637,22.7412135,122.4,
53.13637,22.7412135,122.4,
53.136145,22.741461,123.4,
53.135712,22.741631,125.4,
53.13567,22.74155,125.3,
53.135348,22.741507,126.2,
53.130163,22.738907,132.5,
53.130233,22.739151,131.0,
53.1301,22.73964,131.2,
53.119127,22.777441,118.1,
53.119127,22.777441,118.1,
